order_item_id,order_id,product_id,quantity,customer_id,order_date,total_amount,name,city,email,signup_date,product_name,category,price
1,3462,34,4,710,11/23/2023,1928.24,Customer_710,Mansoura,customer710@example.com,2/4/2023,Product_34,Clothing,4372.79
2,4047,39,5,1392,7/12/2022,4508.94,Customer_1392,Giza,customer1392@example.com,10/26/2024,Product_39,Clothing,3859.21
3,4794,11,3,1700,5/23/2021,6008.71,Customer_1700,Tanta,customer1700@example.com,8/2/2024,Product_11,Books,4911.93
4,4627,69,4,2883,5/27/2022,1965.88,Customer_2883,Mansoura,customer2883@example.com,5/3/2021,Product_69,Books,3830.58
5,2757,99,1,1006,2/25/2023,3148.07,Customer_1006,Giza,customer1006@example.com,11/16/2022,Product_99,Food,1026.63
6,2490,93,5,186,6/27/2023,3644.22,Customer_186,Giza,customer186@example.com,4/3/2021,Product_93,Food,400.32
7,4152,74,4,2419,8/1/2022,1617.18,Customer_2419,Cairo,customer2419@example.com,6/9/2024,Product_74,Books,1450.23
8,2435,60,2,2406,1/14/2022,6259.64,Customer_2406,Alexandria,customer2406@example.com,11/2/2024,Product_60,Books,3144.78
9,3209,15,5,207,3/21/2022,5649.75,Customer_207,Mansoura,customer207@example.com,5/20/2023,Product_15,Food,4986.15
10,955,34,2,10,3/5/2024,1251.52,Customer_10,Tanta,customer10@example.com,3/2/2024,Product_34,Clothing,4372.79
11,734,71,4,2094,7/16/2023,7929.17,Customer_2094,Alexandria,customer2094@example.com,4/3/2021,Product_71,Food,2771.35
12,226,4,4,668,1/8/2024,9484.11,Customer_668,Mansoura,customer668@example.com,3/22/2021,Product_4,Books,4854.34
13,4648,51,5,526,5/2/2024,994.67,Customer_526,Mansoura,customer526@example.com,10/16/2020,Product_51,Clothing,743.17
14,2040,35,3,1033,12/28/2021,7248.51,Customer_1033,Alexandria,customer1033@example.com,10/1/2024,Product_35,Electronics,4514.18
15,4554,20,5,2551,12/24/2024,7624.34,Customer_2551,Alexandria,customer2551@example.com,1/17/2022,Product_20,Books,3971.54
16,742,80,4,441,9/13/2022,7098.33,Customer_441,Cairo,customer441@example.com,11/6/2020,Product_80,Books,1059.08
17,1751,74,2,857,9/1/2023,1914.11,Customer_857,Cairo,customer857@example.com,12/21/2021,Product_74,Books,1450.23
18,3816,80,1,2231,2/16/2021,2658.07,Customer_2231,Giza,customer2231@example.com,9/20/2021,Product_80,Books,1059.08
19,2122,89,2,1371,8/28/2022,1544.09,Customer_1371,Alexandria,customer1371@example.com,4/1/2024,Product_89,Electronics,3701.86
20,4861,33,5,1901,6/8/2023,8148.85,Customer_1901,Giza,customer1901@example.com,11/28/2021,Product_33,Books,3039.13
21,1713,53,4,2092,1/6/2024,4199.58,Customer_2092,Giza,customer2092@example.com,1/14/2024,Product_53,Food,3135.69
22,2635,74,4,1511,9/5/2023,8665.54,Customer_1511,Mansoura,customer1511@example.com,11/23/2023,Product_74,Books,1450.23
23,4846,31,4,1290,3/23/2024,1894.24,Customer_1290,Mansoura,customer1290@example.com,8/7/2023,Product_31,Clothing,803.97
24,1435,30,4,1461,5/23/2023,3176.85,Customer_1461,Alexandria,customer1461@example.com,7/4/2022,Product_30,Food,1100.71
25,368,61,1,2439,9/30/2024,9554.65,Customer_2439,Tanta,customer2439@example.com,3/13/2020,Product_61,Clothing,4887.51
26,1602,55,1,2376,5/7/2022,1061.96,Customer_2376,Mansoura,customer2376@example.com,1/3/2021,Product_55,Food,1039.6
